,Year,Month,Day,no_tot,datetime,no_stupid,no_obama,no_liberal,no_idiot,no_conservative,no_values,no_principles,stupid_rate,obama_rate,liberal_rate,idiot_rate,conservative_rate,values_rate,principles_rate
70,2015,1,4,8853,2015-01-04,17,617,65,18,237,6,2,0.0019202530215746076,0.06969388907714899,0.007342143906020558,0.0020332090816672314,0.02677058624195188,0.0006777363605557439,0.00022591212018524794
71,2015,1,5,8197,2015-01-05,11,471,45,9,239,32,1,0.0013419543735512993,0.05746004635842381,0.005489813346346224,0.001097962669269245,0.0291570086617055,0.0039038672685128705,0.0001219958521410272
72,2015,1,6,8448,2015-01-06,31,398,39,12,443,4,24,0.003669507575757576,0.047111742424242424,0.004616477272727273,0.0014204545454545455,0.05243844696969697,0.0004734848484848485,0.002840909090909091
73,2015,1,7,8233,2015-01-07,33,289,68,17,437,12,6,0.004008259443702174,0.03510263573424025,0.008259443702174176,0.002064860925543544,0.05307907202720758,0.0014575488886189724,0.0007287744443094862
74,2015,1,8,5849,2015-01-08,14,204,80,19,196,17,3,0.002393571550692426,0.03487775688151821,0.013677551718242434,0.0032484185330825784,0.03351000170969397,0.0029064797401265174,0.0005129081894340913
75,2015,1,9,5512,2015-01-09,18,233,72,17,140,3,3,0.003265602322206096,0.042271407837445575,0.013062409288824383,0.003084179970972424,0.02539912917271408,0.0005442670537010159,0.0005442670537010159
76,2015,1,10,6306,2015-01-10,16,236,49,7,171,1,4,0.002537266095781795,0.03742467491278148,0.007770377418331748,0.0011100539169045353,0.027117031398667935,0.0001585791309863622,0.0006343165239454488
77,2015,1,11,10676,2015-01-11,12,325,30,20,87,6,2,0.0011240164855751218,0.03044211315099288,0.002810041213937804,0.0018733608092918695,0.008149119520419633,0.0005620082427875609,0.00018733608092918696
78,2015,1,12,6557,2015-01-12,5,406,62,22,184,16,4,0.0007625438462711606,0.06191856031721824,0.009455543693762392,0.0033551929235931064,0.02806161354277871,0.002440140308067714,0.0006100350770169285
79,2015,1,13,7182,2015-01-13,19,472,59,10,218,5,1,0.0026455026455026454,0.0657198551935394,0.008214981899192425,0.001392369813422445,0.0303536619326093,0.0006961849067112225,0.0001392369813422445
80,2015,1,14,6018,2015-01-14,9,346,49,5,183,4,2,0.0014955134596211367,0.05749418411432369,0.008142239946826188,0.0008308408109006315,0.03040877367896311,0.0006646726487205051,0.00033233632436025255
81,2015,1,15,5436,2015-01-15,10,241,39,18,143,5,2,0.001839587932303164,0.044334069168506254,0.00717439293598234,0.0033112582781456954,0.026306107431935247,0.000919793966151582,0.0003679175864606328
82,2015,1,16,6184,2015-01-16,27,417,50,8,173,2,3,0.004366106080206986,0.06743208279430789,0.008085381630012937,0.00129366106080207,0.027975420439844762,0.0003234152652005175,0.0004851228978007762
83,2015,1,17,5716,2015-01-17,9,359,40,8,140,2,3,0.0015745276417074878,0.06280615815255423,0.006997900629811057,0.0013995801259622112,0.0244926522043387,0.0003498950314905528,0.0005248425472358292
84,2015,1,18,6677,2015-01-18,8,318,47,7,290,5,6,0.0011981428785382657,0.047626179421896064,0.007039089411412311,0.0010483750187209825,0.04343267934701213,0.0007488392990864161,0.0008986071589036993
85,2015,1,19,8458,2015-01-19,12,530,157,10,537,239,19,0.0014187751241428233,0.0626625679829747,0.01856230787420194,0.0011823126034523528,0.06349018680539134,0.028257271222511232,0.0022463939465594703
86,2015,1,20,9401,2015-01-20,15,379,368,41,392,533,8,0.001595574938836294,0.040314860121263695,0.03914477183278375,0.004361238166152537,0.04169769173492182,0.05669609615998298,0.0008509733007126901
87,2015,1,21,11312,2015-01-21,31,893,124,27,189,82,6,0.0027404526166902405,0.07894271570014144,0.010961810466760962,0.002386845827439887,0.01670792079207921,0.0072489391796322486,0.0005304101838755304
88,2015,1,22,5832,2015-01-22,18,400,64,13,125,19,2,0.0030864197530864196,0.06858710562414266,0.010973936899862825,0.0022290809327846365,0.021433470507544582,0.0032578875171467765,0.0003429355281207133
89,2015,1,23,5016,2015-01-23,8,377,38,14,131,80,2,0.001594896331738437,0.07515948963317384,0.007575757575757576,0.0027910685805422647,0.026116427432216906,0.01594896331738437,0.00039872408293460925
90,2015,1,24,5242,2015-01-24,22,316,64,18,182,11,2,0.004196871423120946,0.06028233498664632,0.012209080503624571,0.0034338038916444107,0.03471957268218237,0.002098435711560473,0.00038153376573826786
91,2015,1,25,4966,2015-01-25,16,386,46,22,122,20,1,0.003221908981071285,0.07772855416834475,0.009262988320579944,0.004430124848973017,0.024567055980668547,0.004027386226339106,0.0002013693113169553
92,2015,1,26,5893,2015-01-26,38,303,82,29,147,13,3,0.006448328525369082,0.05141693534702189,0.013914814186322755,0.004921092821992194,0.0249448498218225,0.002206007127099949,0.000509078567792296
93,2015,1,27,6229,2015-01-27,4,291,63,12,142,20,3,0.0006421576497030021,0.0467169690158934,0.010113982982822282,0.0019264729491090063,0.022796596564456574,0.0032107882485150102,0.00048161823727725157
94,2015,1,28,4848,2015-01-28,7,272,39,10,106,18,1,0.0014438943894389438,0.056105610561056105,0.008044554455445545,0.0020627062706270625,0.021864686468646866,0.0037128712871287127,0.00020627062706270627
95,2015,1,29,7611,2015-01-29,9,333,41,15,246,11,5,0.0011824990145841545,0.04375246353961372,0.005386939955327815,0.001970831690973591,0.03232163973196689,0.0014452765733806332,0.0006569438969911969
96,2015,1,30,5113,2015-01-30,14,267,19,21,168,12,2,0.0027381185214159984,0.05221983180129083,0.0037160179933502834,0.0041071777821239976,0.03285742225699198,0.002346958732642284,0.00039115978877371407
97,2015,1,31,5490,2015-01-31,21,462,66,11,431,12,6,0.003825136612021858,0.08415300546448087,0.012021857923497269,0.0020036429872495446,0.0785063752276867,0.002185792349726776,0.001092896174863388
98,2015,2,1,6105,2015-02-01,16,447,131,8,191,4,1,0.002620802620802621,0.07321867321867322,0.021457821457821456,0.0013104013104013104,0.03128583128583129,0.0006552006552006552,0.0001638001638001638
99,2015,2,2,6679,2015-02-02,15,291,99,49,107,100,2,0.0022458451864051506,0.04356939661625992,0.014822578230273994,0.007336427608923492,0.016020362329690074,0.014972301242701004,0.0002994460248540201
100,2015,2,3,4791,2015-02-03,38,347,63,26,158,16,1,0.007931538300981006,0.07242746816948445,0.013149655604257984,0.005426841995408057,0.0329785013567105,0.0033395950740972655,0.0002087246921310791
101,2015,2,4,5476,2015-02-04,36,452,58,39,176,3,2,0.006574141709276844,0.08254200146092038,0.010591672753834916,0.007121986851716581,0.03214024835646457,0.000547845142439737,0.0003652300949598247
102,2015,2,5,4645,2015-02-05,12,274,41,14,128,4,4,0.0025834230355220667,0.05898815931108719,0.008826695371367061,0.0030139935414424113,0.027556512378902047,0.000861141011840689,0.000861141011840689
